item	roi	word	surprisal	retrieval,surprisal
158	6	ने	0.01343	123.30855296529046,0.15816
158	7	बहुत	0.07551	101.0,0.3402
158	8	धीरे-धीरे	0.20777	51.0,1.05818
158	9	बनाया	1.70960	1186.4634272879441,0.39232
158	10	था	0.00329	123.30855296529035,0.00392
158	11	बहुत	0.13964	244.5705592875879,0.33723
158	12	सुनसान	0.21506	218.64204918486348,0.33141
158	13	इलाके	0.25120	396.7257122351234,0.67367
158	14	में	0.14851	145.6171059305807,0.2426
158	15	है।	0.59565	312.7553237613329,0.25325
160	1	हमारी	0.00074	51.0,0.04827
160	2	बिल्डिंग	0.60307	51.0,0.71962
160	3	जिसको	0.01440	51.0,0.1368
160	4	बहुत	0.14621	51.0,0.33867
160	5	धीरे-धीरे	0.27439	51.0,1.15755
160	6	बनाया	1.52481	910.8207512500303,0.33958
160	7	था	0.00329	123.30855296529035,0.00392
160	8	उस	0.22833	197.78527964379373,0.76284
160	9	इंजीनियर	0.21764	279.35737053002276,0.6037
160	10	ने	0.16313	123.30855296529035,0.31225
160	11	बहुत	0.62551	385.7824435534353,0.65719
160	12	सुनसान	0.26775	259.6866692022695,0.34898
160	13	इलाके	0.25120	510.33543035866796,0.67367
160	14	में	0.14851	145.6171059305807,0.2426
160	15	है।	0.59565	346.724931669954,0.25325
162	1	वह	0.00071	51.0,0.10484
162	2	लड़की	0.20150	174.30855296529043,0.88503
162	3	जिसने	0.00893	51.00000000000003,0.05763
162	4	सारी	0.07310	51.0,0.15525
162	5	फाइलें	0.87080	196.6171059305808,1.7584
162	6	पिछले	0.04237	51.0,0.49589
162	7	हफते	1.17140	743.1407004113612,0.21396
162	8	शाम	0.16923	167.92565889587127,0.59678
162	9	के	0.27095	123.30855296529035,0.39596
162	10	समय	0.36837	244.57055928758768,0.65977
162	11	उठायीं	0.39954	364.7317713203563,0.14537
162	12	थीं	0.08702	123.30855296529035,0.21918
162	13	बहुत	0.63778	308.07217306684424,0.84367
162	14	अच्छा	0.20484	387.49767019929277,0.23155
